10000; 0.001; 339643
20000; 0.003; 739240
30000; 0.005; 1138805
40000; 0.007; 1598363
50000; 0.008; 2047957
60000; 0.009; 2517519
70000; 0.014; 2937097
80000; 0.014; 3436667
90000; 0.020; 3866256
100000; 0.017; 4395790
