10000; 0.002; 339643
20000; 0.005; 759239
30000; 0.010; 1198803
40000; 0.012; 1638362
50000; 0.020; 2097956
60000; 0.024; 2577518
70000; 0.026; 3077095
80000; 0.027; 3516666
90000; 0.038; 4046254
100000; 0.037; 4495789
