10000; 0.001; 329644
20000; 0.002; 719241
30000; 0.003; 1108806
40000; 0.006; 1558364
50000; 0.005; 1997958
60000; 0.008; 2457520
70000; 0.010; 2867098
80000; 0.009; 3356668
90000; 0.011; 3776257
100000; 0.013; 4295791
