10000; 0.001; 130000
20000; 0.001; 280000
30000; 0.002; 420000
40000; 0.003; 600000
50000; 0.003; 750000
60000; 0.004; 900000
70000; 0.004; 1120000
80000; 0.004; 1280000
90000; 0.006; 1440000
100000; 0.005; 1600000
